split,level_1,u1,u2,z,n_x,n_t,n_y,x,t,y,y0,y1,name,diff_z,z_actual,diff_x,x_actual
train,0,-1.0337958,0.07071644,1.0238287,-0.14923154,0.023860125,-0.040242255,-1.2537438,0.0,0.5035207,0.5035207,1.5035207,train/0119n02a2s194.png,-0.013174731,1.010654,-0.020877793,-1.2746216
train,1,-0.19968212,-1.2738667,0.31940758,-0.04605707,-0.0044897087,0.014197782,1.0281274,1.0,0.5941545,-0.40584558,0.5941545,train/0139n03a3s045.png,0.0280485,0.3474561,-0.00584201,1.0222855
train,2,1.7365408,0.7523688,0.8122804,0.0035840652,0.071624,-0.032417394,0.9877561,0.0,-4.8177795,-4.8177795,-3.8177793,train/0051n02a2s079.png,0.0059914486,0.8182719,-0.026117645,0.96163845
train,3,1.1390845,0.039529677,0.8582047,0.0367984,0.01651427,0.16140878,1.1363531,0.0,-3.474965,-3.474965,-2.474965,train/0965n01a4s189.png,-0.08795422,0.7702505,-0.028432824,1.1079203
train,4,0.25662977,-1.709666,-0.9879414,0.022580598,-0.0010322357,-0.007450856,1.9888763,0.0,-0.032769024,-0.032769024,0.96723104,train/0139n02a1s029.png,-0.11496736,-1.1029087,0.058345914,2.0472221
train,5,-0.58100986,0.5165232,0.23600872,-0.022496833,0.060823556,-0.009586109,-1.1200298,0.0,0.41642493,0.41642493,1.4164249,train/0827n02a2s165.png,-0.02938278,0.20662594,0.0196845,-1.1003453
train,6,0.07002846,0.14683813,1.2407503,-0.05519406,-0.009001154,0.013779304,-0.13200372,1.0,-0.86702794,-1.867028,-0.86702794,train/0281n01a3s050.png,0.10076082,1.3415111,-0.036522646,-0.16852637
train,7,-0.06425044,0.21507417,0.63536495,-0.04030366,0.031431902,-0.024480266,-0.31962824,1.0,-0.031344354,-1.0313444,-0.031344354,train/0010n03a3s209.png,0.032155696,0.66752064,-0.0042129825,-0.3238412
train,8,0.26270804,-0.21815869,0.42165416,-0.060122687,0.013643987,-0.0038338162,0.42074403,0.0,-1.4509041,-1.4509041,-0.45090407,train/0257n01a1s067.png,-0.026304213,0.39534995,0.05612228,0.4768663
train,9,-0.22080624,0.46807852,0.8155475,0.046258524,-0.0022871573,-0.0127832135,-0.6426262,1.0,0.11328179,-0.8867183,0.11328179,train/0375n01a1s165.png,-0.048443314,0.7671042,-0.008490386,-0.6511166
train,10,-0.39252344,-1.1830326,-0.89422894,0.024256947,0.088927865,-0.008738565,0.81476617,1.0,2.1705372,1.1705372,2.1705372,train/0749n05a2s076.png,0.052970394,-0.8412585,0.067507096,0.88227326
train,11,0.6876267,-0.13898532,0.0639872,-0.060389746,0.013775311,-0.028055657,0.7662223,1.0,-0.9672963,-1.9672964,-0.9672963,train/0601n04a2s103.png,0.042083036,0.106070235,0.012647339,0.7788696
train,12,0.11741523,-1.2130773,0.09499774,0.051389366,-0.047380015,-0.07780987,1.3818818,0.0,-0.9076381,-0.9076381,0.09236193,train/0018n04a2s110.png,-0.03640419,0.058593553,-0.006252634,1.3756292
train,13,-0.41773507,0.501309,-0.88865846,0.00021113944,0.023135355,0.09363862,-0.9188329,0.0,1.3177671,1.3177671,2.3177671,train/0083n02a1s117.png,0.037356157,-0.8513023,-0.030189997,-0.9490229
train,14,0.3995296,1.627741,-2.5024986,0.12282389,0.010972585,-0.041751392,-1.1053876,0.0,1.1616881,1.1616881,2.161688,train/0607n02a2s106.png,0.2095822,-2.2929165,0.0709207,-1.0344669
train,15,-1.1744121,0.3079166,-0.42256725,0.05365777,0.009507556,-0.05807768,-1.428671,0.0,2.213314,2.213314,3.213314,train/0068n01a1s120.png,0.017900389,-0.40466687,-0.042363215,-1.4710342
train,16,0.45534688,-0.11511936,0.9845998,-0.018419303,0.036149174,-0.020282948,0.5520469,0.0,-2.4155765,-2.4155765,-1.4155765,train/0714n01a2s138.png,-0.06324881,0.921351,0.0038989307,0.5559458
train,17,-0.5039928,0.10160163,0.5300476,0.025774939,0.074604705,0.03352911,-0.57981944,1.0,1.0114672,0.011467159,1.0114672,train/0864n01a2s061.png,0.0119677195,0.5420153,0.027102318,-0.55271715
train,18,0.48424485,-0.06760848,-0.10368028,-0.078071974,0.09953917,-0.06394922,0.47378138,1.0,-0.4287586,-1.4287586,-0.4287586,train/0888n01a1s154.png,-0.0033098385,-0.10699012,0.01568108,0.48946247
train,19,1.2209303,-0.7138783,-0.30808035,-0.04012211,0.021900615,-0.023528308,1.8946865,0.0,-2.6573086,-2.6573086,-1.6573087,train/0751n01a2s032.png,-0.012235307,-0.32031566,-0.028230004,1.8664565
train,20,-0.8636324,0.13055702,-0.016218282,0.029583976,-0.047674067,-0.021308525,-0.9646054,1.0,2.2221744,1.2221745,2.2221744,train/0582n03a2s259.png,-0.056735113,-0.072953396,0.0022844677,-0.9623209
train,21,0.2551408,0.93544585,-1.7627954,-0.0553552,-0.013325061,0.045613073,-0.7356602,1.0,1.7981269,0.79812694,1.7981269,train/0474n03a1s119.png,-0.052874878,-1.8156704,-0.019740166,-0.75540036
train,22,-1.6100252,-0.33507085,-1.1590366,-0.036545373,0.06393248,-0.02659198,-1.3114997,0.0,3.8524952,3.8524952,4.852495,train/0836n01a1s085.png,-0.024443919,-1.1834805,-0.03362932,-1.345129
train,23,-0.4017646,0.65051734,-1.3192358,0.054755855,0.061365742,0.03413735,-0.9975261,0.0,1.6569023,1.6569023,2.6569023,train/0858n02a3s165.png,-0.022189783,-1.3414255,0.031105358,-0.96642077
train,24,-0.26158005,0.67435265,-0.8131956,0.03778797,-0.046467405,-0.055621553,-0.8981447,0.0,0.78073406,0.78073406,1.7807341,train/0676n01a4s167.png,-0.03652052,-0.8497161,-0.026347134,-0.9244919
train,25,-0.06822367,0.655944,-1.7888325,-0.002937882,-0.037392717,0.030036489,-0.7271055,0.0,1.4553164,1.4553164,2.4553165,train/0518n01a1s048.png,0.017763672,-1.7710689,0.05253457,-0.6745709
train,26,0.0069366866,-0.97196704,0.5746924,0.040458556,0.0500634,-0.06853913,1.0193622,1.0,-0.15710491,-1.157105,-0.15710491,train/0045n10a2s084.png,0.035091065,0.6097835,-0.021077616,0.9982846
train,27,0.3817183,-1.1953598,0.47223645,0.013648408,0.045891766,0.061052777,1.5907265,0.0,-1.6746203,-1.6746203,-0.6746203,train/0064n01a4s074.png,-0.06303118,0.40920526,0.004706949,1.5954335
train,28,-0.044555802,1.3308353,0.061703604,-0.009124848,-0.030371055,0.042417616,-1.384516,1.0,0.56982565,-0.4301744,0.56982565,train/0727n01a3s290.png,0.0029204062,0.06462401,-0.011724327,-1.3962404
train,29,-0.03364056,-0.7576129,1.2529727,0.02833278,0.06694373,0.0011398223,0.7523051,1.0,-0.68455184,-1.6845518,-0.68455184,train/0201n03a2s067.png,-0.0009697666,1.252003,-0.11028949,0.6420156
train,30,-0.13913332,-0.1357595,0.87959886,0.018803095,0.043593794,0.027841536,0.015429279,0.0,-1.0734906,-1.0734906,-0.07349062,train/0629n02a1s207.png,-0.059373476,0.82022536,0.043263383,0.058692664
train,31,0.43710527,0.9912785,-1.2292812,-0.02763137,-0.0044167098,-0.00929063,-0.5818046,1.0,0.84578,-0.15421999,0.84578,train/0629n01a1s163.png,-0.059491552,-1.2887727,-0.064118974,-0.64592355
train,32,-1.088942,1.281031,0.33818054,0.055227786,0.0465984,0.031099034,-2.3147454,0.0,1.3708026,1.3708026,2.3708026,train/0677n01a1s101.png,-0.25760216,0.08057839,0.19706029,-2.117685
train,33,-0.61733836,0.15920845,-1.7619678,0.103505604,0.028886093,0.016643535,-0.6730412,1.0,3.513288,2.513288,3.513288,train/0474n06a2s152.png,0.0050760466,-1.7568917,0.09354104,-0.5795002
train,34,0.5719421,0.15274589,-1.2109653,0.017209286,0.046519686,-0.03359409,0.43640548,0.0,-0.46651304,-0.46651304,0.53348696,train/0998n06a4s056.png,-0.05290883,-1.263874,0.07146772,0.5078732
train,35,-0.504451,0.39082608,0.14348575,0.003059006,-0.037093427,-0.091762535,-0.892218,1.0,1.2736536,0.27365363,1.2736536,train/0376n01a1s179.png,0.05207737,0.19556312,-0.008906304,-0.9011243
train,36,0.25150955,-1.0434694,-0.562092,0.022600457,0.014150965,0.049103316,1.3175794,0.0,-0.39182377,-0.39182377,0.60817623,train/0749n05a4s074.png,-0.0015596839,-0.5636517,-0.03972726,1.2778522
train,37,-0.5778224,-0.15906726,0.36864465,-0.06648714,0.01018685,0.051366787,-0.48524225,1.0,1.338367,0.33836693,1.338367,train/0067n03a2s139.png,-0.016177492,0.35246715,-0.015397146,-0.5006394
train,38,-0.85367227,1.4892771,0.50845957,0.09648354,-0.00840428,-0.07239338,-2.246466,1.0,1.6264915,0.62649155,1.6264915,train/0215n04a4s178.png,0.124098815,0.6325584,0.30869746,-1.9377685
train,39,0.049851738,0.117557496,1.1636236,0.03149737,-0.037539452,0.041352473,-0.036208387,0.0,-1.7219746,-1.7219746,-0.72197455,train/0066n01a4s452.png,-0.042586993,1.1210365,-0.0008225393,-0.037030928
